customer_id,segment,registration_date,days_since_registration,age,gender,city,purchase_frequency,avg_purchase_value,total_spent,last_purchase_days,favorite_category,preferred_channel,device_type,session_count,avg_session_duration,cart_abandonment_rate,email_open_rate,click_through_rate,customer_lifetime_value,churn_probability,nps_score,support_tickets,returns_count
CUST00000033,At-Risk,2020-07-16,1935,25,Other,Rangpur,4,1219,4875,75,Home & Living,Email Campaign,Tablet,27,1469,0.04,0.71,0.23,11632,0.70,-64,5,0
CUST00000034,Occasional Shoppers,2020-07-05,1946,50,F,Rangpur,5,2186,10930,44,Home & Living,Mobile App,Mobile,22,1777,0.58,0.38,0.18,14288,0.31,-72,2,0
CUST00000035,High-Value Loyal,2020-03-13,2060,36,F,Sylhet,37,11363,420433,116,Electronics,Website,Tablet,154,1255,0.36,0.41,0.23,698239,0.14,-69,6,4
CUST00000036,Occasional Shoppers,2020-07-16,1935,64,M,Rangpur,8,1569,12555,169,Health,Mobile App,Desktop,63,1231,0.44,0.80,0.41,23093,0.40,-78,9,0
CUST00000037,New Customers,2020-08-11,1909,64,Other,Dhaka,1,2959,2959,157,Home & Living,Mobile App,Desktop,4,904,0.04,0.54,0.23,6344,0.41,34,6,0
CUST00000038,At-Risk,2020-03-13,2060,25,Other,Sylhet,1,845,845,10,Home & Living,Email Campaign,Mobile,7,1499,0.54,0.26,0.12,1018,0.61,-48,6,0
CUST00000039,New Customers,2020-12-07,1791,37,F,Mymensingh,1,2219,2219,22,Home & Living,Website,Tablet,6,661,0.29,0.66,0.45,4435,0.53,74,5,0
CUST00000040,High-Value Loyal,2020-02-07,2095,45,F,Rangpur,40,10630,425200,72,Home & Living,Mobile App,Mobile,133,1130,0.24,0.76,0.42,572555,0.10,11,1,6
CUST00000041,Regular Buyers,2020-11-22,1806,40,M,Mymensingh,8,5368,42941,87,Groceries,Website,Mobile,51,1011,0.55,0.64,0.31,66762,0.18,3,3,0
CUST00000042,At-Risk,2020-10-12,1847,45,M,Rangpur,4,1265,5059,143,Beauty,Social Media,Mobile,31,706,0.30,0.59,0.40,10399,0.59,-44,3,0
CUST00000043,At-Risk,2020-02-17,2085,38,Other,Khulna,2,861,1721,26,Sports,Email Campaign,Desktop,15,1637,0.33,0.78,0.39,4066,0.79,73,1,0
CUST00000044,At-Risk,2020-02-06,2096,40,M,Dhaka,4,1013,4051,109,Beauty,Mobile App,Desktop,28,1600,0.06,0.12,0.07,6497,0.77,16,7,0
CUST00000045,At-Risk,2020-07-19,1932,33,Other,Khulna,4,652,2609,160,Books,In-Store,Tablet,19,638,0.43,0.21,0.10,6062,0.55,77,8,0
CUST00000046,Occasional Shoppers,2020-01-12,2121,43,M,Sylhet,3,1149,3447,99,Books,Email Campaign,Mobile,10,391,0.11,0.65,0.44,6307,0.31,15,5,0
CUST00000047,At-Risk,2020-07-07,1944,48,F,Dhaka,4,792,3169,119,Sports,In-Store,Mobile,28,1164,0.22,0.52,0.20,5935,0.60,13,8,0
CUST00000048,Occasional Shoppers,2020-10-06,1853,63,F,Barisal,5,1630,8148,163,Groceries,Social Media,Tablet,28,1121,0.40,0.13,0.07,10511,0.35,74,5,0
CUST00000049,New Customers,2020-10-02,1857,49,M,Rajshahi,2,1463,2927,88,Home & Living,In-Store,Mobile,6,473,0.24,0.61,0.42,5311,0.61,43,3,0
CUST00000050,Regular Buyers,2020-01-06,2127,35,Other,Sylhet,11,5870,64569,150,Sports,Social Media,Tablet,58,1371,0.43,0.46,0.14,96197,0.15,-41,4,0
CUST00000051,Occasional Shoppers,2020-02-11,2091,40,Other,Dhaka,9,2068,18613,49,Groceries,Website,Desktop,89,560,0.06,0.35,0.15,45570,0.32,95,6,0
CUST00000052,Regular Buyers,2020-10-15,1844,47,F,Khulna,11,5115,56270,116,Sports,Social Media,Desktop,48,1533,0.40,0.20,0.10,101544,0.26,-39,1,0
CUST00000053,Regular Buyers,2020-10-15,1844,26,F,Dhaka,14,5240,73356,110,Sports,Mobile App,Mobile,31,1749,0.31,0.53,0.27,178181,0.17,-29,2,1
CUST00000054,Regular Buyers,2020-04-21,2021,38,Other,Rajshahi,16,4075,65201,150,Health,Email Campaign,Desktop,42,511,0.36,0.64,0.38,132184,0.28,47,3,2
CUST00000055,At-Risk,2020-12-11,1787,34,M,Rajshahi,4,694,2778,111,Books,Social Media,Mobile,18,1026,0.43,0.77,0.39,5967,0.69,26,9,0
CUST00000056,Occasional Shoppers,2020-12-08,1790,35,M,Chittagong,9,956,8601,100,Groceries,Email Campaign,Mobile,74,727,0.46,0.79,0.25,11409,0.31,-42,1,0
CUST00000057,Regular Buyers,2020-05-26,1986,52,M,Sylhet,10,2624,26239,175,Books,Social Media,Tablet,36,574,0.32,0.24,0.10,59889,0.17,-38,2,1
CUST00000058,New Customers,2020-04-07,2035,38,Other,Barisal,1,2856,2856,18,Home & Living,In-Store,Tablet,6,833,0.35,0.44,0.18,4349,0.55,56,0,0
CUST00000059,New Customers,2020-01-21,2112,40,M,Chittagong,1,1912,1912,100,Health,Mobile App,Desktop,7,1404,0.57,0.71,0.36,3573,0.58,28,0,0
CUST00000060,New Customers,2020-08-03,1917,50,F,Chittagong,2,2001,4003,133,Health,Social Media,Tablet,7,535,0.11,0.41,0.19,7589,0.53,3,8,0
CUST00000061,At-Risk,2020-03-06,2067,59,Other,Chittagong,3,724,2173,3,Beauty,Email Campaign,Tablet,21,129,0.24,0.30,0.10,4387,0.72,61,0,0
CUST00000062,Regular Buyers,2020-08-01,1919,19,M,Mymensingh,13,2243,29159,98,Home & Living,Social Media,Desktop,70,674,0.48,0.66,0.24,51410,0.25,42,7,1
CUST00000063,Regular Buyers,2020-06-24,1957,23,F,Dhaka,12,4236,50834,171,Books,Website,Tablet,39,1508,0.46,0.63,0.26,92236,0.18,-20,3,1
CUST00000064,Occasional Shoppers,2020-09-10,1879,32,F,Khulna,4,2041,8166,74,Groceries,Email Campaign,Desktop,33,1487,0.32,0.18,0.10,11329,0.50,-63,3,0
CUST00000065,New Customers,2020-04-04,2038,33,M,Barisal,2,2773,5546,146,Health,In-Store,Tablet,14,1771,0.37,0.65,0.27,12127,0.48,41,4,0
CUST00000066,Occasional Shoppers,2020-01-17,2116,58,F,Barisal,8,2223,17788,79,Fashion,Website,Mobile,52,288,0.51,0.43,0.28,22815,0.36,-93,0,0
CUST00000067,High-Value Loyal,2020-02-17,2085,37,Other,Khulna,36,8661,311783,112,Fashion,In-Store,Desktop,192,1493,0.13,0.25,0.09,487733,0.05,-22,0,0
CUST00000068,Occasional Shoppers,2020-09-19,1870,43,M,Rangpur,9,944,8494,76,Fashion,Social Media,Mobile,81,1439,0.09,0.42,0.22,13060,0.41,42,9,0
CUST00000069,High-Value Loyal,2020-12-17,1781,37,M,Khulna,39,14956,583292,112,Home & Living,Mobile App,Mobile,89,691,0.06,0.33,0.11,838355,0.05,70,1,5
CUST00000070,New Customers,2020-03-13,2060,34,M,Khulna,1,2564,2564,166,Electronics,Mobile App,Mobile,8,638,0.13,0.54,0.31,4393,0.63,39,4,0
CUST00000071,New Customers,2020-12-19,1779,46,F,Khulna,2,2880,5761,104,Home & Living,Email Campaign,Tablet,10,1315,0.35,0.79,0.29,9921,0.67,-81,9,0
CUST00000072,High-Value Loyal,2020-11-20,1808,44,F,Rajshahi,38,11737,445994,124,Sports,Website,Tablet,371,1503,0.22,0.27,0.10,574241,0.12,-10,7,4
CUST00000073,Regular Buyers,2020-11-04,1824,56,F,Khulna,13,2239,29107,51,Health,Email Campaign,Desktop,64,458,0.58,0.15,0.07,44844,0.20,-11,3,1
CUST00000074,At-Risk,2020-09-11,1878,56,F,Rangpur,4,731,2926,173,Home & Living,Mobile App,Mobile,21,1499,0.52,0.28,0.17,3596,0.70,-29,9,0
CUST00000075,New Customers,2020-05-25,1987,64,F,Barisal,1,2630,2630,178,Fashion,Website,Desktop,6,1605,0.47,0.29,0.11,4373,0.53,63,4,0
CUST00000076,New Customers,2020-05-26,1986,38,Other,Barisal,1,1991,1991,168,Beauty,Email Campaign,Mobile,3,1790,0.29,0.18,0.11,3106,0.68,45,5,0
CUST00000077,Regular Buyers,2020-05-03,2009,53,M,Dhaka,14,2713,37976,116,Groceries,Social Media,Mobile,119,1557,0.06,0.44,0.19,91806,0.28,29,5,0
CUST00000078,Regular Buyers,2020-02-11,2091,30,F,Dhaka,9,3879,34912,43,Fashion,Mobile App,Mobile,39,254,0.43,0.67,0.29,73054,0.19,-26,5,0
CUST00000079,New Customers,2020-04-01,2041,46,M,Mymensingh,2,1795,3590,71,Fashion,Social Media,Desktop,15,532,0.13,0.27,0.18,7645,0.43,-22,0,0
CUST00000080,New Customers,2020-11-06,1822,20,Other,Chittagong,2,2451,4902,35,Electronics,Social Media,Desktop,16,1010,0.23,0.79,0.46,10496,0.47,-43,1,0
CUST00000081,Occasional Shoppers,2020-04-02,2040,35,M,Rajshahi,6,1298,7791,56,Sports,Email Campaign,Tablet,42,934,0.58,0.77,0.26,18644,0.32,-24,6,0
CUST00000082,Occasional Shoppers,2020-11-09,1819,59,Other,Sylhet,3,996,2987,163,Home & Living,In-Store,Desktop,17,1395,0.44,0.25,0.12,5043,0.34,-47,0,0
CUST00000083,At-Risk,2020-05-21,1991,51,Other,Dhaka,4,1477,5908,68,Sports,Social Media,Tablet,35,1075,0.38,0.35,0.22,12898,0.72,-54,9,0
CUST00000084,Regular Buyers,2020-04-22,2020,37,Other,Mymensingh,8,3849,30793,107,Sports,Social Media,Desktop,23,1098,0.32,0.21,0.10,65412,0.19,-85,6,0
CUST00000085,Regular Buyers,2020-04-03,2039,29,M,Barisal,15,2755,41330,126,Electronics,In-Store,Tablet,39,1761,0.27,0.63,0.21,74136,0.25,-29,5,1
CUST00000086,Regular Buyers,2020-06-15,1966,57,Other,Barisal,9,4101,36906,84,Fashion,Mobile App,Mobile,22,1306,0.59,0.78,0.40,72197,0.20,-30,0,0
CUST00000087,Occasional Shoppers,2020-06-05,1976,60,F,Rajshahi,7,1733,12130,178,Groceries,Social Media,Mobile,46,1569,0.39,0.42,0.16,19338,0.39,-56,7,0
CUST00000088,High-Value Loyal,2020-03-17,2056,47,M,Khulna,26,13872,360673,65,Groceries,Website,Mobile,214,1059,0.08,0.48,0.34,564394,0.05,-25,1,0
CUST00000089,Regular Buyers,2020-07-09,1942,40,M,Mymensingh,10,4802,48024,78,Electronics,Website,Desktop,81,581,0.38,0.17,0.07,101681,0.17,-53,7,0
CUST00000090,Occasional Shoppers,2020-08-19,1901,32,F,Sylhet,3,2040,6119,142,Fashion,In-Store,Tablet,10,1547,0.19,0.26,0.09,8458,0.41,40,6,0
CUST00000091,Regular Buyers,2020-02-17,2085,62,F,Rangpur,19,2220,42173,69,Electronics,Social Media,Mobile,88,853,0.25,0.16,0.07,70624,0.18,65,6,1
CUST00000092,Occasional Shoppers,2020-12-01,1797,48,F,Khulna,9,1259,11327,178,Beauty,Social Media,Mobile,28,866,0.45,0.46,0.23,16766,0.39,95,5,0
CUST00000093,At-Risk,2020-05-14,1998,43,F,Barisal,3,1432,4295,146,Electronics,In-Store,Mobile,20,622,0.04,0.70,0.39,7384,0.76,31,9,0
CUST00000094,High-Value Loyal,2020-08-16,1904,22,Other,Rangpur,20,6867,137346,49,Beauty,Email Campaign,Tablet,183,930,0.59,0.44,0.28,340055,0.09,-51,3,0
CUST00000095,Occasional Shoppers,2020-03-19,2054,63,M,Khulna,4,1906,7623,92,Home & Living,Mobile App,Tablet,28,908,0.19,0.53,0.34,10244,0.46,88,8,0
CUST00000096,High-Value Loyal,2020-09-25,1864,44,Other,Chittagong,21,11593,243444,73,Sports,Website,Mobile,117,1414,0.31,0.72,0.44,318856,0.10,-17,9,0
CUST00000097,Regular Buyers,2020-04-15,2027,53,F,Sylhet,14,4793,67103,67,Fashion,Website,Mobile,34,947,0.17,0.25,0.10,91963,0.29,69,6,1
CUST00000098,Occasional Shoppers,2020-07-12,1939,45,F,Rangpur,4,929,3716,86,Fashion,Email Campaign,Tablet,34,1680,0.31,0.11,0.03,6954,0.45,-5,3,0
CUST00000099,High-Value Loyal,2020-12-01,1797,55,F,Khulna,26,12547,326211,154,Electronics,Mobile App,Desktop,82,171,0.08,0.41,0.22,393191,0.06,-41,9,1
CUST00000100,New Customers,2020-07-11,1940,36,Other,Chittagong,1,1599,1599,171,Books,Mobile App,Mobile,9,531,0.42,0.68,0.24,2986,0.48,-66,4,0
CUST00000101,Occasional Shoppers,2020-12-26,1772,57,F,Khulna,3,1381,4144,102,Health,Website,Desktop,16,589,0.35,0.27,0.17,7830,0.37,-100,6,0
CUST00000102,New Customers,2020-11-22,1806,64,F,Dhaka,1,2675,2675,51,Fashion,Email Campaign,Desktop,7,931,0.35,0.13,0.08,3838,0.40,64,3,0
CUST00000103,New Customers,2020-03-26,2047,37,F,Sylhet,1,2518,2518,145,Health,Social Media,Mobile,8,1298,0.10,0.58,0.26,4249,0.65,57,3,0
CUST00000104,Occasional Shoppers,2020-02-18,2084,33,Other,Khulna,7,1551,10859,141,Fashion,Website,Mobile,52,1708,0.00,0.51,0.28,25086,0.33,-33,5,0
CUST00000105,Occasional Shoppers,2020-09-10,1879,50,Other,Dhaka,3,981,2944,123,Groceries,In-Store,Desktop,27,1778,0.10,0.30,0.17,5156,0.47,-19,3,0
CUST00000106,High-Value Loyal,2020-02-25,2077,19,M,Mymensingh,31,11209,347484,7,Beauty,Website,Desktop,278,1006,0.30,0.17,0.09,752779,0.14,-74,6,3
CUST00000107,High-Value Loyal,2020-06-13,1968,53,F,Chittagong,31,14195,440049,86,Groceries,Mobile App,Mobile,179,939,0.44,0.73,0.48,883447,0.13,76,9,4
CUST00000108,New Customers,2020-07-16,1935,24,M,Sylhet,2,2635,5269,78,Electronics,Website,Tablet,8,969,0.52,0.62,0.29,7515,0.55,-3,4,0
CUST00000109,New Customers,2020-10-10,1849,58,Other,Mymensingh,1,1579,1579,167,Groceries,In-Store,Mobile,5,1393,0.02,0.23,0.14,3432,0.66,-38,0,0
CUST00000110,High-Value Loyal,2020-02-13,2089,63,M,Sylhet,44,9848,433308,174,Sports,Website,Desktop,406,900,0.13,0.52,0.36,520088,0.10,-79,2,0
CUST00000111,Regular Buyers,2020-01-02,2131,36,Other,Khulna,17,5336,90714,77,Electronics,Email Campaign,Tablet,36,309,0.43,0.76,0.44,171496,0.30,-68,0,0
CUST00000112,High-Value Loyal,2020-03-14,2059,61,F,Sylhet,17,9324,158504,85,Home & Living,Website,Tablet,76,1784,0.46,0.69,0.41,278905,0.06,-1,3,2
CUST00000113,Regular Buyers,2020-12-26,1772,43,F,Mymensingh,12,3264,39169,128,Books,Email Campaign,Tablet,108,1503,0.07,0.14,0.07,95362,0.15,-72,5,1
CUST00000114,At-Risk,2020-12-02,1796,59,F,Khulna,3,1428,4284,167,Groceries,Website,Tablet,28,829,0.01,0.28,0.12,9048,0.79,30,0,0
CUST00000115,New Customers,2020-02-09,2093,29,M,Khulna,2,1628,3256,91,Beauty,Email Campaign,Desktop,16,649,0.06,0.49,0.17,6420,0.64,-31,0,0
CUST00000116,Occasional Shoppers,2020-01-12,2121,38,Other,Rangpur,3,1667,5000,44,Books,Social Media,Mobile,9,395,0.58,0.21,0.08,11066,0.41,-69,9,0
CUST00000117,High-Value Loyal,2020-12-12,1786,45,Other,Barisal,36,9331,335916,148,Health,Website,Mobile,226,1316,0.46,0.77,0.36,614524,0.06,-78,4,1
CUST00000118,New Customers,2020-01-25,2108,45,F,Chittagong,1,2753,2753,138,Beauty,Email Campaign,Mobile,2,888,0.44,0.26,0.12,5167,0.41,63,7,0
CUST00000119,At-Risk,2020-06-14,1967,47,F,Dhaka,2,584,1168,8,Home & Living,Website,Desktop,9,849,0.27,0.42,0.27,2916,0.64,-83,7,0
CUST00000120,New Customers,2020-11-25,1803,25,Other,Chittagong,1,1664,1664,125,Fashion,In-Store,Mobile,7,171,0.08,0.53,0.28,2929,0.54,-17,2,0
CUST00000121,Occasional Shoppers,2020-03-23,2050,38,Other,Khulna,9,2088,18790,25,Fashion,Social Media,Tablet,79,895,0.35,0.68,0.45,29373,0.44,38,7,0
CUST00000122,Regular Buyers,2020-02-21,2081,58,M,Rajshahi,18,4425,79651,132,Sports,In-Store,Tablet,114,1456,0.49,0.50,0.23,173731,0.18,62,6,1
CUST00000123,At-Risk,2020-11-19,1809,46,F,Rajshahi,3,1294,3883,60,Electronics,Social Media,Tablet,8,158,0.16,0.71,0.34,9703,0.79,96,6,0
CUST00000124,Occasional Shoppers,2020-01-01,2132,28,Other,Chittagong,7,2220,15542,153,Health,Mobile App,Desktop,62,972,0.07,0.59,0.34,22314,0.36,-65,3,0
CUST00000125,At-Risk,2020-04-04,2038,26,Other,Chittagong,1,757,757,124,Books,Mobile App,Tablet,8,1128,0.24,0.62,0.39,1617,0.69,-12,0,0
CUST00000126,New Customers,2020-12-21,1777,39,F,Dhaka,1,2537,2537,157,Health,Email Campaign,Mobile,5,1315,0.38,0.23,0.14,5517,0.51,96,4,0
CUST00000127,Regular Buyers,2020-09-03,1886,28,F,Mymensingh,12,2957,35482,21,Fashion,Email Campaign,Tablet,69,806,0.22,0.14,0.04,78870,0.20,47,7,0
CUST00000128,New Customers,2020-05-27,1985,23,M,Dhaka,1,2057,2057,139,Fashion,Social Media,Desktop,5,187,0.40,0.42,0.16,2930,0.65,-91,3,0
CUST00000129,Regular Buyers,2020-07-03,1948,60,F,Rangpur,17,4527,76956,46,Books,Mobile App,Mobile,65,1164,0.57,0.36,0.25,146655,0.23,53,7,1
CUST00000130,High-Value Loyal,2020-03-21,2052,51,F,Dhaka,30,7244,217323,76,Fashion,Website,Mobile,287,364,0.48,0.79,0.34,517133,0.09,-93,8,2
CUST00000131,Regular Buyers,2020-08-07,1913,21,M,Khulna,9,3200,28800,99,Sports,In-Store,Tablet,69,686,0.20,0.78,0.39,53180,0.30,-88,6,0
CUST00000132,At-Risk,2020-01-07,2126,57,Other,Dhaka,3,858,2575,6,Health,Website,Tablet,13,1771,0.00,0.46,0.20,3442,0.71,85,4,0
CUST00000133,Occasional Shoppers,2020-08-01,1919,27,Other,Chittagong,8,1160,9281,8,Fashion,Website,Desktop,29,127,0.37,0.47,0.26,18724,0.44,87,9,0
CUST00000134,High-Value Loyal,2020-11-16,1812,25,F,Chittagong,17,14405,244884,17,Electronics,Mobile App,Desktop,40,271,0.41,0.15,0.09,547449,0.11,-37,0,2
CUST00000135,Occasional Shoppers,2020-07-10,1941,29,F,Barisal,4,1517,6069,129,Health,In-Store,Tablet,9,965,0.53,0.50,0.20,10917,0.47,-64,1,0
CUST00000136,Occasional Shoppers,2020-05-26,1986,37,F,Sylhet,5,1905,9523,101,Sports,Mobile App,Desktop,20,180,0.46,0.26,0.09,15306,0.36,32,2,0
CUST00000137,Regular Buyers,2020-06-02,1979,45,Other,Rangpur,10,2747,27474,179,Groceries,Social Media,Desktop,85,214,0.46,0.30,0.17,46375,0.30,94,7,0
CUST00000138,New Customers,2020-09-22,1867,30,F,Dhaka,1,2266,2266,91,Electronics,Mobile App,Mobile,7,871,0.37,0.24,0.15,3163,0.47,43,9,0
CUST00000139,Occasional Shoppers,2020-11-06,1822,26,F,Chittagong,4,1555,6221,14,Electronics,Social Media,Mobile,33,1491,0.03,0.10,0.04,14352,0.48,-81,6,0
CUST00000140,At-Risk,2020-10-06,1853,50,Other,Barisal,2,1471,2942,62,Fashion,Website,Desktop,8,463,0.57,0.48,0.22,5404,0.57,-43,6,0
CUST00000141,Occasional Shoppers,2020-11-25,1803,55,F,Rajshahi,6,1561,9367,116,Fashion,Website,Desktop,55,215,0.29,0.22,0.15,20032,0.46,40,6,0
CUST00000142,Regular Buyers,2020-04-07,2035,33,M,Dhaka,19,4752,90282,121,Books,Mobile App,Mobile,63,1467,0.13,0.30,0.17,112986,0.21,-51,9,0
CUST00000143,Occasional Shoppers,2020-08-14,1906,57,M,Chittagong,6,1216,7299,42,Sports,Social Media,Tablet,38,1185,0.35,0.66,0.42,10654,0.32,-30,6,0
CUST00000144,Regular Buyers,2020-03-23,2050,32,F,Rajshahi,14,5682,79545,40,Groceries,In-Store,Mobile,104,880,0.39,0.70,0.48,191100,0.19,3,8,1
CUST00000145,Regular Buyers,2020-05-25,1987,63,Other,Dhaka,11,5773,63503,17,Groceries,Social Media,Desktop,42,1235,0.49,0.39,0.12,121709,0.24,-95,1,0
CUST00000146,Regular Buyers,2020-09-18,1871,55,F,Rangpur,11,2366,26021,48,Beauty,Website,Mobile,92,1584,0.34,0.46,0.17,57538,0.15,58,6,0
CUST00000147,Regular Buyers,2020-07-02,1949,55,Other,Khulna,8,4177,33414,161,Groceries,Social Media,Desktop,23,1652,0.34,0.42,0.28,44383,0.23,7,0,0
CUST00000148,Occasional Shoppers,2020-06-15,1966,56,F,Dhaka,8,957,7657,105,Fashion,Email Campaign,Desktop,54,231,0.09,0.63,0.30,12116,0.37,-70,1,0
CUST00000149,High-Value Loyal,2020-05-04,2008,48,F,Rangpur,38,9964,378620,82,Home & Living,Social Media,Desktop,339,1140,0.13,0.72,0.43,704862,0.08,-73,5,2
CUST00000150,New Customers,2020-09-08,1881,34,F,Dhaka,1,2738,2738,3,Electronics,Social Media,Mobile,2,734,0.35,0.12,0.05,3322,0.58,32,1,0
CUST00000151,New Customers,2020-01-24,2109,42,M,Barisal,1,2023,2023,27,Home & Living,Social Media,Desktop,9,1174,0.27,0.22,0.12,3577,0.45,-54,2,0
CUST00000152,New Customers,2020-06-06,1975,48,M,Rajshahi,1,2975,2975,147,Groceries,Email Campaign,Mobile,5,1425,0.59,0.75,0.38,3994,0.47,-78,0,0
CUST00000153,Occasional Shoppers,2020-10-09,1850,43,Other,Dhaka,7,911,6376,25,Groceries,Mobile App,Desktop,42,624,0.15,0.30,0.13,10547,0.34,-35,9,0
